,id,next_id
1,1.0008915,17.0000569
2,1.0007681,1.0008915
3,1.0009245,1.0007681
4,79.0000135,1.0009245
5,2137.0000001,79.0000135
6,44.0000248,2137.0000001
7,6.0001566,44.0000248
8,1233.0000005,6.0001566
9,14.0000684,1233.0000005
10,3.0002593,14.0000684
11,16.0000608,3.0002593
12,3.0002519,16.0000608
13,299.0000035,3.0002519
14,3.0002546,299.0000035
15,1827.0000002,3.0002546
16,52.0000211,1827.0000002
17,523.0000017,52.0000211
18,424.0000021,523.0000017
19,5.0001742,424.0000021
20,2.0003341,5.0001742
21,4.0002197,2.0003341
22,581.0000013,4.0002197
23,160.0000068,581.0000013
24,9.0001069,160.0000068
25,155.0000071,9.0001069
26,3652.0,155.0000071
27,61.0000182,3652.0
28,74.0000148,61.0000182
29,16.0000607,74.0000148
30,11.0000858,16.0000607
31,344.000003,11.0000858
32,3.0003,344.000003
33,898.0000008,3.0003
34,46.0000241,898.0000008
35,16.0000618,46.0000241
36,93.0000109,16.0000618
37,1.001042,93.0000109
38,83.0000125,1.001042
39,157.0000069,83.0000125
40,183.0000055,157.0000069
41,11.0000902,183.0000055
42,401.0000022,11.0000902
43,21.0000468,401.0000022
44,1.0010347,21.0000468
45,43.0000253,1.0010347
46,1150.0000006,43.0000253
47,2.0004899,1150.0000006
48,1578.0000003,2.0004899
49,2.0003733,1578.0000003
50,34.0000311,2.0003733
51,1.0009673,34.0000311
52,81.000013,1.0009673
53,66.0000169,81.000013
54,2.0003617,66.0000169
55,469.0000019,2.0003617
56,4.0002109,469.0000019
57,1.0008426,4.0002109
58,25.0000394,1.0008426
59,21.0000467,25.0000394
60,60.0000184,21.0000467
61,6.0001481,60.0000184
62,6.0001553,6.0001481
63,1020.0000007,6.0001553
64,80.0000134,1020.0000007
65,283.0000038,80.0000134
66,48.0000229,283.0000038
67,2.0004014,48.0000229
68,7.0001326,2.0004014
69,2.0004456,7.0001326
70,689.0000011,2.0004456
71,28.000035,689.0000011
72,11.0000879,28.000035
73,10.0000994,11.0000879
74,1.0007801,10.0000994
75,75.0000142,1.0007801
76,3.0003183,75.0000142
77,482.0000018,3.0003183
78,171.0000064,482.0000018
79,11.0000886,171.0000064
80,172.0000062,11.0000886
81,56.0000198,172.0000062
82,145.0000075,56.0000198
83,83.0000126,145.0000075
84,2.0004981,83.0000126
85,149.0000073,2.0004981
86,5.0001868,149.0000073
87,1.0011928,5.0001868
88,2.0003584,1.0011928
89,544.0000016,2.0003584
90,1.0010448,544.0000016
91,260.000004,1.0010448
92,1.0007477,260.000004
93,26.0000369,1.0007477
94,6.0001498,26.0000369
95,96.0000108,6.0001498
96,204.0000048,96.0000108
97,3.0002819,204.0000048
98,127.0000084,3.0002819
99,116.0000091,127.0000084
100,2.0004062,116.0000091
101,49.0000225,2.0004062
102,2.0004153,49.0000225
103,31.000033,2.0004153
104,22.0000437,31.000033
105,3.0003098,22.0000437
106,364.0000025,3.0003098
107,15.0000645,364.0000025
108,3.0003148,15.0000645
109,5.0001812,3.0003148
110,6.0001633,5.0001812
111,2.0004005,6.0001633
112,103.0000104,2.0004005
113,1.0010995,103.0000104
114,86.0000121,1.0010995
115,116.0000092,86.0000121
116,173.0000061,116.0000092
117,5.0001966,173.0000061
118,550.0000015,5.0001966
119,194.0000051,550.0000015
120,25.0000391,194.0000051
121,67.0000166,25.0000391
122,318.0000034,67.0000166
123,201.0000049,318.0000034
124,2.0004693,201.0000049
125,371.0000024,2.0004693
126,2.0004514,371.0000024
127,5.0001933,2.0004514
128,51.0000215,5.0001933
129,345.0000027,51.0000215
130,345.0000026,345.0000027
131,1.0009195,345.0000026
132,1252.0000004,1.0009195
133,345.0000029,1252.0000004
134,371.0000023,345.0000029
135,334.0000032,371.0000023
136,334.0000031,334.0000032
137,345.0000028,334.0000031
138,17.0000549,345.0000028
139,330.0000033,17.0000549
140,12.0000794,330.0000033
141,1.0005594,12.0000794
142,7.0001321,1.0005594
143,3.0002894,7.0001321
144,6.0001607,3.0002894
145,1.0011578,6.0001607
146,1.0010246,1.0011578
147,1.0006534,1.0010246
148,6.000152,1.0006534
149,8.0001174,6.000152
150,1.0006831,8.0001174
151,230.0000042,1.0006831
152,1.0010449,230.0000042
153,7.000127,1.0010449
154,9.0000998,7.000127
155,5.0001711,9.0000998
156,52.0000214,5.0001711
157,3.0002974,52.0000214
158,15.0000651,3.0002974
159,109.0000098,15.0000651
160,89.0000115,109.0000098
161,47.0000237,89.0000115
162,103.0000103,47.0000237
163,26.0000373,103.0000103
164,44.0000252,26.0000373
165,51.0000221,44.0000252
166,15.0000663,51.0000221
167,10.0000963,15.0000663
168,1.0007771,10.0000963
169,67.0000167,1.0007771
170,2.0004077,67.0000167
171,2.0004936,2.0004077
172,182.0000056,2.0004936
173,15.0000629,182.0000056
174,35.0000303,15.0000629
175,9.0001016,35.0000303
176,277.0000039,9.0001016
177,2.0003567,277.0000039
178,10.0000939,2.0003567
179,1.0008062,10.0000939
180,37.0000286,1.0008062
181,9.0001118,37.0000286
182,1.0006227,9.0001118
183,38.0000275,1.0006227
184,2.000488,38.0000275
185,8.0001236,2.000488
186,30.0000339,8.0001236
187,4.000221,30.0000339
188,3.0002971,4.000221
189,44.0000247,3.0002971
190,6.0001487,44.0000247
191,3.000301,6.0001487
192,284.0000036,3.000301
193,1.001121,284.0000036
194,3.0003095,1.001121
195,16.0000615,3.0003095
196,892.0000009,16.0000615
197,27.000036,892.0000009
198,2.0004405,27.000036
199,1.0006868,2.0004405
200,6.0001575,1.0006868
201,1.0011603,6.0001575
202,37.0000284,1.0011603
203,3.0003082,37.0000284
204,1.0005321,3.0003082
205,2.0003532,1.0005321
206,219.0000044,2.0003532
207,26.0000382,219.0000044
208,2.0005001,26.0000382
209,1.0009483,2.0005001
210,193.0000052,1.0009483
211,25.0000399,193.0000052
212,3.0003311,25.0000399
213,1.0006323,3.0003311
214,29.0000344,1.0006323
215,2.0003865,29.0000344
216,40.0000266,2.0003865
217,13.0000744,40.0000266
218,40.0000267,13.0000744
219,28.0000352,40.0000267
220,1.0011074,28.0000352
221,1.0008224,1.0011074
222,1.000595,1.0008224
223,3.0002525,1.000595
224,59.0000186,3.0002525
225,2.0003767,59.0000186
226,4.0002082,2.0003767
227,1.0010813,4.0002082
228,70.0000157,1.0010813
229,13.0000738,70.0000157
230,3.000285,13.0000738
231,10.0000908,3.000285
232,1.0008362,10.0000908
233,580.0000014,1.0008362
234,5.0001695,580.0000014
235,2.0004644,5.0001695
236,1.0006527,2.0004644
237,2.0005011,1.0006527
238,60.0000183,2.0005011
239,9.0001028,60.0000183
240,182.0000057,9.0001028
241,11.0000844,182.0000057
242,3.0003223,11.0000844
243,1.001154,3.0003223
244,1.0011095,1.001154
245,196.000005,1.0011095
246,19.0000516,196.000005
247,13.0000761,19.0000516
248,87.000012,13.0000761
249,16.000061,87.000012
250,91.0000112,16.000061
251,4.0002399,91.0000112
252,883.000001,4.0002399
253,19.000052,883.000001
254,3.0002613,19.000052
255,1.0010669,3.0002613
256,18.0000536,1.0010669
257,11.0000841,18.0000536
258,10.0000988,11.0000841
259,81.0000131,10.0000988
260,10.0000955,81.0000131
261,57.0000196,10.0000955
262,121.0000088,57.0000196
263,89.0000114,121.0000088
264,50.0000222,89.0000114
265,61.0000181,50.0000222
266,3.0002968,61.0000181
267,31.0000331,3.0002968
268,76.000014,31.0000331
269,3.0002499,76.000014
270,10.0000945,3.0002499
271,32.0000326,10.0000945
272,207.0000047,32.0000326
273,15.0000643,207.0000047
274,1.0010566,15.0000643
275,53.0000206,1.0010566
276,3.0003131,53.0000206
277,2.0003808,3.0003131
278,4.000222,2.0003808
279,28.0000356,4.000222
280,3.0002697,28.0000356
281,2.0004379,3.0002697
282,20.0000492,2.0004379
283,40.0000265,20.0000492
284,3.0002691,40.0000265
285,2.0004022,3.0002691
